Bird_ID,Species,Region,Habitat,Weather_Condition,Migration_Reason,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude,Flight_Distance_km,Flight_Duration_hours,Average_Speed_kmph,Max_Altitude_m,Min_Altitude_m,Temperature_C,Wind_Speed_kmph,Humidity_%,Pressure_hPa,Visibility_km,Nesting_Success,Tag_Battery_Level_%,Signal_Strength_dB,Migration_Start_Month,Migration_End_Month,Rest_Stops,Predator_Sightings,Tag_Type,Migrated_in_Flock,Flock_Size,Food_Supply_Level,Tracking_Quality,Migration_Interrupted,Interrupted_Reason,Tagged_By,Tag_Weight_g,Migration_Success,Recovery_Location_Known,Recovery_Time_days,Observation_Counts,Observation_Quality,Origin,Destination
B1010,Warbler,Asia,Wetland,Clear,Feeding,-15.01324026,178.0062652,-25.48181598,-18.24429442,2522.04,37.6,48.37,3548,715,13.4,58.2,61,1008.4,18.9,Yes,14,-75.4,Nov,Apr,9,8,Satellite,No,49,High,Fair,No,Lost Signal,Researcher_B,16,Successful,Yes,91,43,High,"-15.013240257029068, 178.00626518793098","-25.48181597974508, -18.2442944237022"
B1011,Crane,South America,Forest,Stormy,Climate Change,39.00753041,126.4459065,39.28646679,157.6124097,2884.1,67.4,35.85,3637,565,21.4,29.6,99,958.4,6.5,No,88,-68.3,Jan,Nov,2,9,GPS,Yes,165,High,Good,Yes,Storm,Researcher_A,24.7,Failed,Yes,76,65,Moderate,"39.00753040662707, 126.4459065177129","39.28646679122281, 157.61240967556495"
B1012,Crane,North America,Grassland,Stormy,Breeding,74.92006657,170.6749087,-87.93118413,-62.2774736,2032.75,50.8,52.67,3602,210,24.6,45.2,40,1005.3,2.4,Yes,34,-78.5,May,Jun,9,4,Satellite,No,100,High,Good,No,Lost Signal,Researcher_A,5.5,Successful,No,97,53,High,"74.92006656535975, 170.67490874812393","-87.93118413119832, -62.27747359563018"
B1013,Hawk,Africa,Grassland,Windy,Breeding,75.748463,131.9389591,-6.472739219,101.9270747,2911.47,29.9,48.6,7964,334,20,0.9,34,1030.2,6.3,No,31,-87,Jan,Apr,11,5,Radio,Yes,240,Medium,Excellent,No,Injury,Researcher_A,20.7,Failed,No,61,93,Low,"75.74846300112696, 131.93895911225957","-6.472739218593986, 101.92707471899058"
B1014,Stork,Africa,Wetland,Stormy,Climate Change,36.72522049,99.43331049,-28.24002502,-32.84439136,1571.3,46.3,49.01,5374,718,-6,45.3,43,1014,19.3,Yes,63,-63.8,Apr,Jun,8,1,Satellite,No,344,Low,Good,No,Lost Signal,Researcher_C,24.5,Successful,Yes,23,61,Low,"36.72522048863566, 99.43331049201883","-28.240025021599266, -32.84439136106579"
B1015,Crane,South America,Forest,Rainy,Avoid Predators,24.64239471,159.7837944,63.72053424,-144.5431032,2609.86,63,50.06,2985,631,5,5.7,84,1005.8,7.3,No,34,-81.7,Oct,Nov,13,5,Satellite,Yes,342,High,Good,Yes,Predator,Researcher_A,16.2,Failed,Yes,57,55,High,"24.642394706256496, 159.78379444723646","63.72053423500583, -144.54310317069115"
B1016,Eagle,Asia,Forest,Foggy,Breeding,5.674693595,-28.86507195,52.43308388,-144.4162507,2131.78,57.3,56.6,8353,212,-9.7,47.6,36,1018.5,6.7,Yes,43,-51.1,May,Dec,6,8,Radio,Yes,273,High,Excellent,No,,Researcher_C,21.9,Successful,No,79,92,Low,"5.674693594501221, -28.86507194954757","52.43308388080612, -144.41625072110548"
B1017,Hawk,Africa,Wetland,Stormy,Feeding,-57.02441973,102.0000361,-30.22255319,-24.32382481,3288.87,66.5,61.05,1832,108,25.7,55.1,86,984.8,5.2,No,84,-58.9,Jan,Nov,5,3,Satellite,No,90,High,Fair,Yes,Lost Signal,Researcher_B,27.5,Failed,Yes,74,42,Low,"-57.02441972721686, 102.00003605887052","-30.222553190312347, -24.32382480629357"
B1018,Goose,Africa,Mountain,Stormy,Breeding,-67.74666253,-103.3591659,65.66345595,-159.1620727,1694.11,48.9,50.23,4278,744,-6.2,14,74,1011.2,9,Yes,60,-61.1,Jan,Jun,1,9,Satellite,No,475,Low,Excellent,No,Predator,Researcher_B,25.3,Failed,Yes,84,11,Low,"-67.74666253102467, -103.35916587020056","65.66345594977818, -159.16207265417495"
B1019,Stork,Asia,Mountain,Stormy,Avoid Predators,-2.572018778,83.8057877,74.44800109,25.78292685,2380.28,58.3,45.48,2108,639,17,16.6,83,956,6.5,No,42,-68.5,May,Apr,3,3,Satellite,No,194,Low,Fair,Yes,Predator,Researcher_C,22,Successful,Yes,39,75,Moderate,"-2.572018777911552, 83.80578769958771","74.44800109215512, 25.782926854066066"
B1020,Eagle,North America,Forest,Windy,Feeding,-61.30005188,102.7271819,9.442592844,-2.286095268,2083.79,53.7,38.04,6720,637,5.5,48.5,22,978.2,6,No,84,-72.6,Mar,Nov,6,9,GPS,Yes,338,High,Good,No,Injury,Researcher_B,19.2,Successful,Yes,78,25,Moderate,"-61.30005188265732, 102.72718189886145","9.442592844166969, -2.2860952679238267"
B1021,Eagle,Africa,Mountain,Foggy,Feeding,13.85998662,77.94878756,-61.33733952,72.91266685,2216.22,53.5,59.29,4204,553,10.8,47.1,47,966.3,16.3,No,67,-60.1,Sep,Dec,8,7,GPS,Yes,192,Low,Good,No,Predator,Researcher_A,11.8,Successful,No,13,19,Moderate,"13.859986620480484, 77.9487875580923","-61.33733952154687, 72.91266685062425"
B1022,Goose,Europe,Mountain,Windy,Feeding,26.22649145,125.9327035,48.65905491,-113.1762494,1931.06,40.2,61.03,5433,698,3.2,47.6,75,1028.2,7.2,Yes,75,-64.2,Feb,Jun,10,9,GPS,No,385,Low,Excellent,No,Predator,Researcher_B,18.3,Successful,No,106,42,Moderate,"26.22649145421927, 125.9327035285782","48.65905491268825, -113.1762494124616"
B1023,Stork,Australia,Mountain,Windy,Climate Change,4.610807554,-31.19923913,-32.5180368,33.45453134,2586.22,19.3,43.28,7043,815,23.3,48.5,74,961.5,4.9,Yes,40,-72.4,Jan,Jun,9,2,Satellite,Yes,495,Low,Fair,No,Lost Signal,Researcher_C,19.2,Failed,Yes,61,10,High,"4.61080755360733, -31.199239134141976","-32.51803679501478, 33.45453134166078"
B1024,Hawk,Australia,Forest,Windy,Breeding,-83.44319175,16.11652755,4.910650207,-117.1719085,2613.6,49.4,51.25,1826,745,4.9,20.7,11,1020.6,14,Yes,70,-84.7,Sep,Apr,6,9,Satellite,Yes,252,Medium,Good,No,Predator,Researcher_C,22.8,Successful,No,60,31,Low,"-83.44319174772954, 16.11652754717693","4.91065020716438, -117.17190851563656"
B1025,Swallow,Africa,Mountain,Rainy,Avoid Predators,-79.60896742,-176.1597321,-81.79404039,80.00413685,1635.55,29,50.44,6973,844,22.2,57,41,987.6,2.7,Yes,93,-75.3,Apr,Apr,5,0,Radio,Yes,29,Low,Poor,No,Predator,Researcher_A,11.2,Successful,Yes,67,41,Low,"-79.60896741558021, -176.15973214970245","-81.79404038505574, 80.00413685015371"
B1026,Stork,North America,Grassland,Foggy,Climate Change,-69.59858676,-127.4208613,0.016276071,-69.42288303,2811.67,56,41.55,6392,302,7.3,53.9,85,993.9,5.5,Yes,45,-54.2,Apr,Jun,13,4,Radio,No,369,High,Good,Yes,,Researcher_B,27.1,Successful,Yes,79,85,Low,"-69.59858675733261, -127.42086131783137","0.0162760710800569, -69.42288303010568"
B1027,Goose,North America,Coastal,Rainy,Climate Change,-62.3437551,51.90981323,-21.55238402,41.18983297,1707.03,45.8,51.63,8954,877,8.4,7.7,48,1018.1,13.9,No,28,-52.7,Apr,Oct,6,2,Satellite,Yes,258,High,Poor,No,Lost Signal,Researcher_A,7.2,Successful,No,50,59,Moderate,"-62.34375510209898, 51.909813226015785","-21.552384016730517, 41.18983297165727"
B1028,Eagle,South America,Forest,Rainy,Feeding,88.17887048,22.43419187,33.49175278,137.7638136,2514.63,41.6,53.13,1260,842,14.5,2.5,42,1032.2,5.3,Yes,49,-69,Sep,Mar,5,1,Satellite,Yes,313,Medium,Good,Yes,Lost Signal,Researcher_A,22.3,Failed,No,94,16,Low,"88.17887047847998, 22.43419187221619","33.49175278334384, 137.76381362500445"
B1029,Hawk,Europe,Wetland,Foggy,Climate Change,-27.99089696,-108.9602951,-82.65893761,-4.235714575,3381.04,41.4,48.54,9118,800,9.6,55.1,45,987.6,1.4,Yes,93,-74.6,Mar,Mar,3,2,Satellite,No,173,Medium,Excellent,Yes,,Researcher_B,14.7,Failed,No,68,63,High,"-27.99089696463796, -108.96029512509456","-82.65893760790047, -4.2357145746154"
B1030,Stork,North America,Mountain,Rainy,Breeding,-37.44479274,-92.3526741,22.49018498,-110.7748404,2069.98,50.8,50.81,2401,198,16.6,12.9,30,964.5,15.9,No,88,-71.7,Nov,Apr,2,5,GPS,No,19,High,Poor,Yes,Injury,Researcher_A,25.1,Failed,Yes,30,46,High,"-37.44479274456849, -92.35267410229864","22.49018498447037, -110.77484042546646"
B1031,Swallow,Asia,Urban,Foggy,Climate Change,-80.59200558,-56.13040731,48.95209324,139.0042443,2350.51,59.6,52.49,3614,881,31.3,44.5,14,1011,7.8,No,50,-66.5,Oct,May,4,0,Satellite,No,295,Medium,Excellent,No,Injury,Researcher_A,23.6,Failed,Yes,4,64,High,"-80.59200558043877, -56.1304073075551","48.95209324333192, 139.00424433117365"
B1032,Swallow,Europe,Forest,Stormy,Climate Change,24.35767032,77.90929666,-87.69993361,-50.91136192,2105.61,47,49.82,4950,838,6.3,39.7,89,1044.5,9.9,No,58,-73.9,Jan,Apr,3,3,Radio,Yes,335,Low,Poor,Yes,Lost Signal,Researcher_B,26.3,Successful,Yes,77,95,Moderate,"24.357670323407376, 77.90929665966331","-87.69993360590452, -50.91136191660473"
B1033,Crane,Australia,Wetland,Windy,Feeding,27.39434132,39.49797696,44.99340204,82.89103512,2164.56,42.4,48.5,8646,190,22,43.5,23,969.2,11.6,Yes,31,-80.7,Mar,Dec,5,4,GPS,No,2,Low,Excellent,Yes,,Researcher_B,14.1,Successful,No,63,53,Low,"27.394341323630528, 39.49797695878834","44.99340204096183, 82.89103512495603"
B1034,Crane,Europe,Coastal,Rainy,Feeding,-58.41923588,-154.9543449,-66.56327509,-64.76555573,2655.19,42.6,48.41,8523,504,29.3,37.1,63,998,12,No,24,-68.9,Oct,Mar,6,6,Radio,Yes,223,Medium,Good,Yes,Lost Signal,Researcher_C,22.2,Successful,No,1,87,Moderate,"-58.41923587584036, -154.95434489689566","-66.56327509047236, -64.76555572948674"
B1035,Warbler,Asia,Grassland,Foggy,Climate Change,75.46347737,93.57809364,35.65010079,-72.64244065,3306.63,66.2,53.04,1624,410,-6.3,17.2,21,955.3,1.4,Yes,21,-72.4,May,Mar,9,3,Satellite,No,118,Medium,Excellent,Yes,,Researcher_A,27.1,Failed,Yes,69,54,Moderate,"75.46347736643037, 93.57809364444984","35.65010078513302, -72.64244064568442"
B1036,Goose,Africa,Wetland,Clear,Feeding,54.08883839,-85.44255731,-8.050252252,51.13017335,2482.46,49.5,52.6,5163,696,15.1,35.6,44,972.9,16.6,Yes,50,-63.1,Sep,Nov,13,8,Satellite,Yes,195,Medium,Poor,No,Predator,Researcher_A,29.6,Failed,No,69,23,Moderate,"54.088838387122905, -85.44255731206937","-8.05025225237263, 51.13017335295214"
B1037,Stork,Asia,Mountain,Rainy,Avoid Predators,-48.54252297,61.83348423,9.358435136,-123.7278833,3096.37,22.6,54.9,5138,823,-4.7,31.9,76,1007.8,5.7,No,35,-82.6,May,May,2,1,Satellite,Yes,103,Medium,Excellent,No,Lost Signal,Researcher_B,25.4,Failed,Yes,16,46,Moderate,"-48.54252297464855, 61.83348422559126","9.358435136118048, -123.7278833258516"
B1038,Stork,Asia,Urban,Rainy,Avoid Predators,-2.547048435,-135.5893759,-29.27749492,132.1105935,2137.23,46.1,51.41,4938,658,25.4,18.4,29,1015.5,13.6,Yes,64,-67.6,Mar,Jun,7,8,GPS,Yes,128,Medium,Fair,No,Storm,Researcher_A,12.3,Successful,Yes,32,74,High,"-2.547048435023271, -135.58937592184185","-29.27749492245369, 132.11059350524994"
B1039,Warbler,Africa,Mountain,Foggy,Avoid Predators,-7.489645884,179.2516596,-45.81604686,-40.45536481,3054.22,35.7,54.02,9444,708,6.7,20.9,82,970.8,13.4,Yes,41,-57.7,Mar,May,3,7,GPS,Yes,477,Low,Fair,Yes,Lost Signal,Researcher_A,10.4,Successful,Yes,71,7,Moderate,"-7.489645884207022, 179.25165961890053","-45.8160468610648, -40.45536481469304"
B1040,Eagle,Africa,Wetland,Clear,Climate Change,-27.26632002,-151.0793386,-77.21147555,-173.0601231,3331.38,43.8,57.34,9229,113,13,38.8,81,1039.1,13.5,No,56,-75.8,Nov,Jun,7,6,Satellite,No,483,Medium,Poor,Yes,Storm,Researcher_C,17.4,Failed,No,71,11,Low,"-27.26632001838226, -151.0793385524229","-77.21147554967715, -173.06012305133984"
B1041,Eagle,Africa,Forest,Clear,Breeding,57.17424831,87.02425022,65.64419775,-70.0428695,3109.23,38.2,43.18,6882,163,14,50.1,68,1024.1,18.6,No,77,-77.4,Feb,May,11,5,Radio,Yes,214,High,Good,No,,Researcher_B,27.4,Failed,No,8,58,Low,"57.17424830861037, 87.02425022435824","65.64419774661718, -70.04286950019575"
B1042,Warbler,Africa,Urban,Stormy,Breeding,-70.33239259,14.87892933,19.87725881,102.5878769,2864.82,69.1,51.79,4604,138,16.3,35.7,26,1013.9,9.7,No,80,-70.3,Feb,Mar,3,3,GPS,Yes,491,High,Good,Yes,Predator,Researcher_A,20.4,Successful,No,1,76,Low,"-70.33239258819282, 14.878929331114335","19.87725881442276, 102.5878768558207"
B1043,Eagle,Africa,Urban,Rainy,Feeding,-15.24343683,-149.0618911,86.90384868,129.3691879,2815.85,53.2,51.62,9119,199,34.1,26.3,65,965.7,10.8,No,95,-70.9,Oct,May,14,1,GPS,Yes,69,High,Good,No,Lost Signal,Researcher_C,14.4,Failed,Yes,39,12,Moderate,"-15.243436830997313, -149.0618911377102","86.90384867776513, 129.3691879205229"
B1044,Crane,Asia,Wetland,Windy,Breeding,-12.9543965,-170.3482353,63.08134207,24.4368997,2120.68,60.7,45.92,9819,223,13,7.4,41,993.4,3.2,No,45,-70.2,May,Mar,9,3,Satellite,Yes,222,Low,Excellent,No,Injury,Researcher_C,25,Failed,Yes,54,56,Moderate,"-12.954396501140934, -170.34823528172802","63.08134207288498, 24.436899701416"
B1045,Stork,South America,Coastal,Rainy,Breeding,-5.629391169,-49.44034169,66.5339881,-74.1206455,1762.44,68.9,53.72,8402,540,23.8,1.1,86,1031.9,7.6,No,94,-73.7,Oct,Dec,10,9,GPS,No,288,Low,Fair,Yes,Injury,Researcher_B,10.3,Failed,Yes,109,59,Low,"-5.629391169447658, -49.44034169399569","66.5339880994467, -74.12064550468395"
B1046,Warbler,South America,Coastal,Windy,Climate Change,65.0429984,108.8006155,17.61294252,10.02747733,2832.45,52.9,49.12,5796,496,33.9,5.3,24,1015.4,1.3,No,73,-74.1,Nov,Mar,14,8,GPS,No,312,Medium,Excellent,No,Predator,Researcher_C,25.6,Successful,No,98,18,High,"65.04299839775317, 108.80061552257185","17.612942522881156, 10.02747732898132"
B1047,Stork,North America,Mountain,Windy,Feeding,-50.72996336,-165.1855535,-75.4303132,121.0951075,2107.14,75.5,49.03,2516,569,24.4,4.1,52,950.3,7.2,Yes,51,-56.9,Mar,Jun,5,4,Satellite,Yes,294,Medium,Poor,No,,Researcher_B,14.4,Successful,Yes,7,65,High,"-50.72996336372977, -165.1855534986987","-75.43031319611195, 121.09510750740844"
B1048,Swallow,South America,Wetland,Foggy,Breeding,-71.47382877,73.5835188,74.41132717,-66.2263813,2146.55,34.7,41.33,4491,711,27.5,9.9,31,974.1,10.5,No,85,-80.3,Apr,Dec,5,7,GPS,Yes,222,Medium,Poor,No,Predator,Researcher_A,25.6,Successful,Yes,44,63,Low,"-71.4738287677909, 73.58351879809948","74.41132717185775, -66.226381297829"
B1049,Crane,Australia,Urban,Rainy,Avoid Predators,21.20552331,55.93545946,-68.78047785,-41.24268951,1756.42,64.1,50.04,9777,897,-8,54.2,75,1023.6,2.2,Yes,75,-62.4,Feb,May,11,7,GPS,No,496,Medium,Excellent,No,Predator,Researcher_C,19.6,Failed,No,70,54,Low,"21.20552330779944, 55.93545945512591","-68.7804778531374, -41.24268950544365"
B1050,Hawk,South America,Wetland,Foggy,Feeding,-58.7097945,-84.40643636,3.086281685,14.28988788,2212.82,52,50.61,6180,709,-1.5,9,20,989.2,13.8,No,79,-60,Nov,Dec,10,6,Radio,No,94,Medium,Poor,Yes,Predator,Researcher_A,29.2,Failed,No,73,86,Low,"-58.70979450395152, -84.40643636180381","3.086281684542428, 14.289887876415946"
B1051,Crane,Asia,Urban,Stormy,Feeding,-76.51222455,-152.1028671,64.23403286,139.3697504,3043.22,58.7,55.18,3991,107,20.5,11.6,50,994.6,9.4,Yes,60,-78.6,Apr,Apr,14,5,Radio,Yes,20,Medium,Fair,No,Injury,Researcher_C,18.5,Failed,No,32,94,Low,"-76.51222454616844, -152.1028671354395","64.23403286009594, 139.3697504414381"
B1052,Warbler,Africa,Mountain,Windy,Feeding,-13.2031403,149.5159058,-4.966557422,29.57361618,2978.13,48.6,55.32,4139,112,30.6,36.8,93,993,2.2,No,49,-77.9,Feb,Mar,1,3,Satellite,Yes,390,Low,Poor,Yes,Lost Signal,Researcher_A,7.5,Failed,No,55,50,Moderate,"-13.203140297210368, 149.5159057994623","-4.966557421802236, 29.573616179327416"
B1053,Hawk,Africa,Forest,Clear,Avoid Predators,-50.46364245,-71.87407101,-60.17933625,-105.2585441,1840.59,56.5,49.29,6750,263,-7.2,32.3,55,1023.3,9.3,Yes,94,-70.8,Mar,Mar,7,7,Satellite,Yes,421,High,Good,No,Predator,Researcher_A,15.2,Successful,Yes,102,47,Low,"-50.46364244553463, -71.87407101477937","-60.17933625163506, -105.25854406080484"
B1054,Swallow,Asia,Forest,Windy,Breeding,-24.9810086,-139.9020366,-22.82456723,-147.9225463,2016.67,54.2,53.08,5971,672,26.4,50.2,18,987.2,3.8,Yes,47,-69,Oct,Mar,10,3,Satellite,Yes,66,Low,Fair,Yes,,Researcher_C,17.9,Failed,Yes,73,30,High,"-24.981008603762945, -139.902036556766","-22.824567232756124, -147.9225463266924"
B1055,Warbler,Australia,Wetland,Stormy,Avoid Predators,-43.25200558,65.34614821,87.90972484,-145.7949755,1599.86,49,54.97,9638,283,-1.6,13.8,48,1022.9,17,No,46,-76.7,Oct,Nov,13,8,Satellite,No,120,High,Fair,No,,Researcher_A,9.2,Successful,No,79,74,Low,"-43.25200558155765, 65.34614820992977","87.90972483777878, -145.7949755059683"
B1056,Goose,South America,Urban,Windy,Feeding,-73.32543671,-101.9947576,89.95665357,162.0898466,2682.61,51.4,47.4,1304,460,10,29,75,1041.1,10.8,No,78,-75,Oct,Apr,8,8,Radio,No,345,Medium,Fair,No,Predator,Researcher_B,8,Successful,No,46,6,Low,"-73.32543670978517, -101.99475763501393","89.95665356842372, 162.08984656319302"
B1057,Stork,Asia,Forest,Foggy,Feeding,10.86249653,-8.772927997,37.95029821,116.0684911,2593.64,67.6,46.22,5582,893,28,6.5,82,964,11.9,Yes,35,-76.5,Mar,Apr,8,6,GPS,Yes,308,Medium,Fair,No,Injury,Researcher_B,7.8,Successful,Yes,9,72,Moderate,"10.86249652635628, -8.772927997453223","37.95029820859365, 116.0684911121595"
B1058,Swallow,North America,Urban,Rainy,Climate Change,-85.13668475,-161.8540041,69.83861568,95.70768845,2636.36,42.7,46.42,3540,364,-2.3,35.2,58,1047.8,7.8,Yes,23,-66.8,Jan,Nov,2,7,GPS,Yes,213,Medium,Good,Yes,Lost Signal,Researcher_C,12,Successful,Yes,31,81,Low,"-85.13668475289258, -161.85400407502812","69.838615683802, 95.7076884452124"
B1059,Stork,Africa,Mountain,Clear,Climate Change,83.94756264,177.4742216,-82.04278893,-1.308751499,2278.32,65.4,50.99,1096,826,19.5,36.1,51,983.8,8,Yes,67,-64,Sep,May,2,3,GPS,Yes,433,Low,Good,No,,Researcher_C,17.2,Successful,Yes,65,73,Moderate,"83.94756263899191, 177.47422160691775","-82.04278893037548, -1.3087514987832094"
B1060,Eagle,Europe,Wetland,Foggy,Climate Change,-28.56050609,-18.85639436,-40.3251165,62.11426222,2828.61,42.5,47.46,3789,242,27.3,50.9,87,1044.6,5.4,Yes,47,-70.4,Sep,Dec,1,7,Radio,Yes,365,High,Excellent,Yes,Injury,Researcher_C,10.5,Successful,No,84,81,Moderate,"-28.560506087706077, -18.856394360822748","-40.32511650315158, 62.11426221993145"
B1061,Goose,North America,Urban,Rainy,Climate Change,35.12835189,179.6795933,-23.58728111,-134.1610904,2354.7,56.7,47.31,4525,356,18.2,19.8,23,998.1,15.8,No,24,-76.8,Apr,Apr,14,6,GPS,No,413,Low,Good,No,,Researcher_C,28.9,Successful,No,114,59,Moderate,"35.12835188816469, 179.67959327143234","-23.58728111271021, -134.16109036470937"
B1062,Goose,Australia,Wetland,Clear,Feeding,55.86531706,-41.1570443,-87.84042346,43.52245764,2978.71,49.5,44.1,6176,566,-8.7,17.9,73,1012.9,1.3,Yes,44,-66.8,Jan,Mar,13,1,Radio,Yes,334,Low,Fair,Yes,Lost Signal,Researcher_B,6.6,Successful,No,39,92,High,"55.86531705854097, -41.157044303736114","-87.84042345572726, 43.52245764478073"
B1063,Swallow,North America,Urban,Stormy,Avoid Predators,-39.7611368,-54.77307986,-22.14691999,111.8810637,1952.34,56.3,56.55,2417,868,19.5,57.1,74,1028.9,11.5,No,90,-53.1,May,Oct,6,6,Satellite,Yes,257,Low,Poor,No,Storm,Researcher_C,21.8,Successful,No,25,57,High,"-39.76113680288008, -54.773079860801005","-22.146919992549243, 111.88106372836064"
B1064,Goose,Asia,Coastal,Windy,Climate Change,44.77296764,149.2460382,-73.25431469,-157.6300535,2934.92,53,50.55,4791,545,-1.8,27,21,970.5,4.3,No,73,-75.5,Jan,Oct,1,3,Radio,No,148,High,Poor,Yes,Predator,Researcher_C,26.7,Failed,Yes,36,87,Moderate,"44.77296763981229, 149.24603817614644","-73.25431468930796, -157.63005351494937"
B1065,Hawk,South America,Coastal,Clear,Avoid Predators,59.83575398,-61.39229262,3.133674363,-73.38584797,2716.45,55.2,45.54,1378,200,-1.9,17.4,98,985,17.1,Yes,13,-72.3,Jan,Nov,6,7,Satellite,No,381,Low,Fair,Yes,Injury,Researcher_B,5.8,Failed,No,32,99,Moderate,"59.83575397644773, -61.39229261598428","3.1336743628092307, -73.38584796866019"
B1066,Goose,Africa,Urban,Stormy,Climate Change,-46.56289791,-24.47800297,-89.2045244,-140.2996776,2829.99,56.4,56.74,2440,489,7.6,36.4,80,982.2,13.8,Yes,76,-75.1,May,Jun,1,9,Radio,Yes,25,Low,Poor,No,Injury,Researcher_A,21,Failed,Yes,11,36,Moderate,"-46.562897913909566, -24.47800296614253","-89.20452439819259, -140.2996775893458"
